cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,q_dtype_a2,q_dtype_w2,q_type2,block_m,block_m2,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,active_expert,_tag
256,1,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,32,32,0,24.0682,flydsl_moe1_aint8_wint8_bf16_t32x64x128_w2,0.0%,27.8795,flydsl_moe2_aint8_wint8_bf16_t32x128x64_atomic_w3_bnt0,9.6%,51.9477,0,9.69,4844.69,20,
256,2,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,32,32,0,43.5848,flydsl_moe1_aint8_wint8_bf16_t32x64x256_async_bnt0,1.3%,48.9807,flydsl_moe2_aint8_wint8_bf16_t32x128x256_atomic_w2_bnt0,9.2%,92.5655,0,10.87,5437.67,40,
256,4,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,32,32,0,81.1953,flydsl_moe1_aint8_wint8_bf16_t32x64x256_w4,0.0%,86.7999,flydsl_moe2_aint8_wint8_bf16_t32x128x256_atomic_w3_bnt0,9.1%,167.9952,0,11.98,5767.63,77,
256,8,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,32,32,0,141.6017,flydsl_moe1_aint8_wint8_bf16_t32x64x256_w2_bnt0,0.0%,148.9007,flydsl_moe2_aint8_wint8_bf16_t32x128x256_atomic_w1_bnt0,8.8%,290.5024,0,13.86,5977.71,138,
256,16,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,32,64,0,226.4148,flydsl_moe1_aint8_wint8_bf16_t32x64x256_async_w1_bnt0,3.3%,236.1968,flydsl_moe2_aint8_wint8_bf16_t64x128x256_atomic_w2_bnt0,8.7%,462.6116,0,17.41,6174.76,227,
256,32,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,32,32,0,324.8486,flydsl_moe1_aint8_wint8_bf16_t32x64x256_async_bnt0,4.3%,336.5135,flydsl_moe2_aint8_wint8_bf16_t32x128x128_atomic_w3_bnt0,8.6%,661.3621,0,24.35,6241.04,328,
256,64,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,32,32,0,379.9867,flydsl_moe1_aint8_wint8_bf16_t32x64x256_async_bnt0,4.2%,393.1944,flydsl_moe2_aint8_wint8_bf16_t32x128x128_atomic_w3_bnt0,8.6%,773.1811,0,41.66,6250.31,384,
256,128,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,32,32,0,398.2367,flydsl_moe1_aint8_wint8_bf16_t32x64x256_async_bnt0,3.2%,409.8413,flydsl_moe2_aint8_wint8_bf16_t32x128x128_atomic_w3_bnt0,8.7%,808.078,0,79.73,6199.37,398,
256,256,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,32,32,0,407.2131,flydsl_moe1_aint8_wint8_bf16_t32x64x256_async_w2_bnt0,3.4%,419.1242,flydsl_moe2_aint8_wint8_bf16_t32x128x128_atomic_w4_bnt0,8.7%,826.3373,0,155.93,6094.74,400,
256,512,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,32,64,0,423.0935,flydsl_moe1_aint8_wint8_bf16_t32x64x256_async_w3,3.3%,436.217,flydsl_moe2_aint8_wint8_bf16_t64x128x256_atomic_w4_bnt0,8.7%,859.3105,0,299.89,5864.53,400,
