M,N,K
1,2560,8192
1,14336,8192
1,8192,2048
1,8192,7168
2,2560,8192
2,8192,7168
2,8192,2048
2,14336,8192
4,14336,8192
4,8192,2048
4,8192,7168
4,2560,8192
8,8192,7168
8,2560,8192
8,8192,2048
8,14336,8192
16,2560,8192
16,8192,2048
16,14336,8192
16,8192,7168
17,2560,8192
17,14336,8192
17,8192,7168
17,8192,2048
24,14336,8192
24,2560,8192
24,8192,7168
24,8192,2048
32,8192,7168
32,2560,8192
32,14336,8192
32,8192,2048
40,8192,7168
40,8192,2048
40,2560,8192
40,14336,8192
48,14336,8192
48,8192,7168
48,8192,2048
48,2560,8192
56,8192,7168
56,2560,8192
56,8192,2048
56,14336,8192
64,8192,7168
64,8192,2048
64,14336,8192
64,2560,8192
72,8192,2048
72,8192,7168
72,2560,8192
72,14336,8192
80,8192,7168
80,2560,8192
80,14336,8192
80,8192,2048
88,8192,7168
88,8192,2048
88,14336,8192
88,2560,8192
96,8192,2048
96,8192,7168
96,2560,8192
96,14336,8192
104,8192,7168
104,2560,8192
104,14336,8192
104,8192,2048
112,8192,2048
112,2560,8192
112,14336,8192
112,8192,7168
120,14336,8192
120,8192,7168
120,8192,2048
120,2560,8192
128,8192,7168
128,8192,2048
128,14336,8192
128,2560,8192
136,2560,8192
136,14336,8192
136,8192,2048
136,8192,7168
144,8192,2048
144,8192,7168
144,2560,8192
144,14336,8192
152,8192,7168
152,8192,2048
152,2560,8192
152,14336,8192
160,2560,8192
160,14336,8192
160,8192,7168
160,8192,2048
168,2560,8192
168,14336,8192
168,8192,7168
168,8192,2048
176,8192,7168
176,2560,8192
176,8192,2048
176,14336,8192
184,8192,7168
184,8192,2048
184,2560,8192
184,14336,8192
192,8192,7168
192,8192,2048
192,14336,8192
192,2560,8192
200,8192,7168
200,2560,8192
200,14336,8192
200,8192,2048
208,2560,8192
208,14336,8192
208,8192,2048
208,8192,7168
216,14336,8192
216,8192,7168
216,8192,2048
216,2560,8192
224,8192,7168
224,2560,8192
224,8192,2048
224,14336,8192
232,14336,8192
232,8192,7168
232,8192,2048
232,2560,8192
240,8192,7168
240,2560,8192
240,8192,2048
240,14336,8192
248,8192,7168
248,2560,8192
248,14336,8192
248,8192,2048
256,2560,8192
256,14336,8192
256,8192,7168
256,8192,2048
512,8192,7168
512,8192,2048
512,2560,8192
512,14336,8192
1024,14336,8192
1024,8192,7168
1024,8192,2048
1024,2560,8192
1536,8192,7168
1536,2560,8192
1536,8192,2048
1536,14336,8192
2048,2560,8192
2048,14336,8192
2048,8192,2048
2048,8192,7168
3072,2560,8192
3072,14336,8192
3072,8192,2048
3072,8192,7168
4096,8192,2048
4096,8192,7168
4096,2560,8192
4096,14336,8192
8192,8192,7168
8192,8192,2048
8192,14336,8192
8192,2560,8192
16384,8192,7168
16384,2560,8192
16384,8192,2048
16384,14336,8192
18432,8192,7168
18432,2560,8192
18432,8192,2048
18432,14336,8192
20480,14336,8192
20480,8192,7168
20480,8192,2048
20480,2560,8192
32768,14336,8192
32768,2560,8192
32768,8192,7168
32768,8192,2048
