M,N,K
1,1280,8192
1,7168,8192
1,8192,3584
1,8192,1024
2,7168,8192
2,1280,8192
2,8192,3584
2,8192,1024
4,7168,8192
4,1280,8192
4,8192,3584
4,8192,1024
8,1280,8192
8,8192,3584
8,8192,1024
8,7168,8192
16,7168,8192
16,1280,8192
16,8192,3584
16,8192,1024
17,8192,3584
17,7168,8192
17,1280,8192
17,8192,1024
24,7168,8192
24,1280,8192
24,8192,3584
24,8192,1024
32,8192,3584
32,8192,1024
32,1280,8192
32,7168,8192
40,8192,1024
40,1280,8192
40,7168,8192
40,8192,3584
48,1280,8192
48,8192,3584
48,8192,1024
48,7168,8192
56,8192,3584
56,8192,1024
56,7168,8192
56,1280,8192
64,1280,8192
64,7168,8192
64,8192,3584
64,8192,1024
72,8192,3584
72,8192,1024
72,7168,8192
72,1280,8192
80,7168,8192
80,1280,8192
80,8192,3584
80,8192,1024
88,7168,8192
88,8192,3584
88,8192,1024
88,1280,8192
96,8192,3584
96,8192,1024
96,1280,8192
96,7168,8192
104,8192,3584
104,8192,1024
104,7168,8192
104,1280,8192
112,7168,8192
112,1280,8192
112,8192,3584
112,8192,1024
120,7168,8192
120,1280,8192
120,8192,3584
120,8192,1024
128,1280,8192
128,7168,8192
128,8192,1024
128,8192,3584
136,7168,8192
136,1280,8192
136,8192,3584
136,8192,1024
144,8192,3584
144,8192,1024
144,7168,8192
144,1280,8192
152,8192,3584
152,8192,1024
152,7168,8192
152,1280,8192
160,1280,8192
160,8192,3584
160,7168,8192
160,8192,1024
168,8192,3584
168,1280,8192
168,7168,8192
168,8192,1024
176,7168,8192
176,1280,8192
176,8192,3584
176,8192,1024
184,7168,8192
184,1280,8192
184,8192,3584
184,8192,1024
192,8192,3584
192,8192,1024
192,1280,8192
192,7168,8192
200,8192,3584
200,8192,1024
200,7168,8192
200,1280,8192
208,7168,8192
208,1280,8192
208,8192,3584
208,8192,1024
216,7168,8192
216,1280,8192
216,8192,3584
216,8192,1024
224,1280,8192
224,8192,3584
224,8192,1024
224,7168,8192
232,8192,1024
232,8192,3584
232,1280,8192
232,7168,8192
240,7168,8192
240,1280,8192
240,8192,3584
240,8192,1024
248,7168,8192
248,1280,8192
248,8192,3584
248,8192,1024
256,8192,3584
256,7168,8192
256,1280,8192
256,8192,1024
512,8192,3584
512,8192,1024
512,7168,8192
512,1280,8192
1024,1280,8192
1024,8192,3584
1024,8192,1024
1024,7168,8192
1536,8192,3584
1536,8192,1024
1536,7168,8192
1536,1280,8192
2048,1280,8192
2048,7168,8192
2048,8192,3584
2048,8192,1024
3072,7168,8192
3072,1280,8192
3072,8192,3584
3072,8192,1024
4096,7168,8192
4096,1280,8192
4096,8192,3584
4096,8192,1024
8192,7168,8192
8192,8192,1024
8192,8192,3584
8192,1280,8192
16384,8192,3584
16384,8192,1024
16384,7168,8192
16384,1280,8192
18432,8192,3584
18432,8192,1024
18432,1280,8192
18432,7168,8192
20480,7168,8192
20480,8192,1024
20480,1280,8192
20480,8192,3584
32768,7168,8192
32768,1280,8192
32768,8192,3584
32768,8192,1024
