M,N,K
1,14336,4096
1,4096,2048
1,4096,14336
1,3072,4096
2,4096,2048
2,14336,4096
2,4096,14336
2,3072,4096
4,14336,4096
4,4096,14336
4,3072,4096
4,4096,2048
8,3072,4096
8,14336,4096
8,4096,2048
8,4096,14336
16,3072,4096
16,14336,4096
16,4096,2048
16,4096,14336
17,4096,2048
17,14336,4096
17,4096,14336
17,3072,4096
24,4096,2048
24,14336,4096
24,4096,14336
24,3072,4096
32,4096,2048
32,14336,4096
32,4096,14336
32,3072,4096
40,3072,4096
40,4096,2048
40,14336,4096
40,4096,14336
48,3072,4096
48,4096,2048
48,14336,4096
48,4096,14336
56,3072,4096
56,4096,2048
56,14336,4096
56,4096,14336
64,3072,4096
64,4096,2048
64,4096,14336
64,14336,4096
72,3072,4096
72,4096,2048
72,14336,4096
72,4096,14336
80,3072,4096
80,4096,2048
80,14336,4096
80,4096,14336
88,3072,4096
88,4096,2048
88,14336,4096
88,4096,14336
96,3072,4096
96,4096,2048
96,14336,4096
96,4096,14336
104,3072,4096
104,14336,4096
104,4096,2048
104,4096,14336
112,3072,4096
112,4096,2048
112,14336,4096
112,4096,14336
120,4096,14336
120,3072,4096
120,4096,2048
120,14336,4096
128,14336,4096
128,3072,4096
128,4096,2048
128,4096,14336
136,4096,2048
136,14336,4096
136,4096,14336
136,3072,4096
144,3072,4096
144,4096,2048
144,14336,4096
144,4096,14336
152,3072,4096
152,4096,2048
152,14336,4096
152,4096,14336
160,4096,2048
160,4096,14336
160,14336,4096
160,3072,4096
168,3072,4096
168,4096,2048
168,14336,4096
168,4096,14336
176,3072,4096
176,4096,2048
176,14336,4096
176,4096,14336
184,3072,4096
184,4096,2048
184,14336,4096
184,4096,14336
192,4096,2048
192,4096,14336
192,14336,4096
192,3072,4096
200,4096,2048
200,14336,4096
200,4096,14336
200,3072,4096
208,4096,2048
208,14336,4096
208,4096,14336
208,3072,4096
216,4096,2048
216,4096,14336
216,14336,4096
216,3072,4096
224,3072,4096
224,4096,2048
224,14336,4096
224,4096,14336
232,3072,4096
232,4096,14336
232,4096,2048
232,14336,4096
240,3072,4096
240,14336,4096
240,4096,2048
240,4096,14336
248,3072,4096
248,4096,2048
248,14336,4096
248,4096,14336
256,4096,2048
256,14336,4096
256,4096,14336
256,3072,4096
512,14336,4096
512,3072,4096
512,4096,2048
512,4096,14336
1024,14336,4096
1024,3072,4096
1024,4096,2048
1024,4096,14336
1536,3072,4096
1536,4096,2048
1536,4096,14336
1536,14336,4096
2048,14336,4096
2048,4096,2048
2048,4096,14336
2048,3072,4096
3072,4096,2048
3072,14336,4096
3072,4096,14336
3072,3072,4096
4096,4096,2048
4096,4096,14336
4096,3072,4096
4096,14336,4096
8192,4096,2048
8192,3072,4096
8192,4096,14336
8192,14336,4096
16384,4096,2048
16384,14336,4096
16384,4096,14336
16384,3072,4096
18432,3072,4096
18432,4096,2048
18432,4096,14336
18432,14336,4096
20480,4096,2048
20480,14336,4096
20480,4096,14336
20480,3072,4096
32768,3072,4096
32768,4096,2048
32768,14336,4096
32768,4096,14336
