M,N,K
1,4096,3584
1,4096,1024
1,1536,4096
1,7168,4096
2,4096,3584
2,7168,4096
2,1536,4096
2,4096,1024
4,1536,4096
4,4096,3584
4,4096,1024
4,7168,4096
8,1536,4096
8,4096,3584
8,4096,1024
8,7168,4096
16,4096,3584
16,4096,1024
16,7168,4096
16,1536,4096
17,1536,4096
17,4096,3584
17,4096,1024
17,7168,4096
24,4096,1024
24,4096,3584
24,7168,4096
24,1536,4096
32,4096,3584
32,4096,1024
32,1536,4096
32,7168,4096
40,1536,4096
40,7168,4096
40,4096,3584
40,4096,1024
48,4096,3584
48,7168,4096
48,1536,4096
48,4096,1024
56,1536,4096
56,4096,3584
56,4096,1024
56,7168,4096
64,1536,4096
64,4096,3584
64,4096,1024
64,7168,4096
72,1536,4096
72,4096,3584
72,4096,1024
72,7168,4096
80,7168,4096
80,1536,4096
80,4096,3584
80,4096,1024
88,1536,4096
88,7168,4096
88,4096,1024
88,4096,3584
96,1536,4096
96,4096,3584
96,4096,1024
96,7168,4096
104,4096,3584
104,4096,1024
104,7168,4096
104,1536,4096
112,4096,1024
112,7168,4096
112,4096,3584
112,1536,4096
120,4096,3584
120,7168,4096
120,1536,4096
120,4096,1024
128,7168,4096
128,1536,4096
128,4096,3584
128,4096,1024
136,7168,4096
136,1536,4096
136,4096,3584
136,4096,1024
144,1536,4096
144,4096,3584
144,4096,1024
144,7168,4096
152,7168,4096
152,4096,1024
152,4096,3584
152,1536,4096
160,4096,3584
160,4096,1024
160,1536,4096
160,7168,4096
168,4096,3584
168,4096,1024
168,7168,4096
168,1536,4096
176,1536,4096
176,7168,4096
176,4096,3584
176,4096,1024
184,4096,1024
184,4096,3584
184,1536,4096
184,7168,4096
192,1536,4096
192,4096,3584
192,4096,1024
192,7168,4096
200,4096,3584
200,4096,1024
200,7168,4096
200,1536,4096
208,4096,3584
208,4096,1024
208,7168,4096
208,1536,4096
216,4096,3584
216,4096,1024
216,7168,4096
216,1536,4096
224,1536,4096
224,7168,4096
224,4096,1024
224,4096,3584
232,1536,4096
232,4096,3584
232,4096,1024
232,7168,4096
240,1536,4096
240,4096,3584
240,4096,1024
240,7168,4096
248,4096,3584
248,4096,1024
248,1536,4096
248,7168,4096
256,1536,4096
256,4096,3584
256,4096,1024
256,7168,4096
512,1536,4096
512,4096,3584
512,4096,1024
512,7168,4096
1024,4096,3584
1024,4096,1024
1024,7168,4096
1024,1536,4096
1536,1536,4096
1536,4096,3584
1536,4096,1024
1536,7168,4096
2048,4096,3584
2048,4096,1024
2048,7168,4096
2048,1536,4096
3072,4096,3584
3072,4096,1024
3072,7168,4096
3072,1536,4096
4096,1536,4096
4096,4096,3584
4096,4096,1024
4096,7168,4096
8192,1536,4096
8192,4096,3584
8192,4096,1024
8192,7168,4096
16384,4096,1024
16384,7168,4096
16384,1536,4096
16384,4096,3584
18432,1536,4096
18432,4096,3584
18432,4096,1024
18432,7168,4096
20480,4096,3584
20480,4096,1024
20480,7168,4096
20480,1536,4096
32768,1536,4096
32768,7168,4096
32768,4096,3584
32768,4096,1024
