M,N,K
1,14336,4096
1,4096,512
1,4096,14336
1,768,4096
2,14336,4096
2,4096,14336
2,4096,512
2,768,4096
4,14336,4096
4,4096,14336
4,768,4096
4,4096,512
8,768,4096
8,14336,4096
8,4096,512
8,4096,14336
16,14336,4096
16,4096,512
16,4096,14336
16,768,4096
17,14336,4096
17,4096,14336
17,4096,512
17,768,4096
24,14336,4096
24,4096,14336
24,4096,512
24,768,4096
32,14336,4096
32,4096,14336
32,4096,512
32,768,4096
40,768,4096
40,14336,4096
40,4096,14336
40,4096,512
48,4096,512
48,768,4096
48,14336,4096
48,4096,14336
56,768,4096
56,4096,512
56,14336,4096
56,4096,14336
64,768,4096
64,4096,14336
64,4096,512
64,14336,4096
72,768,4096
72,4096,512
72,14336,4096
72,4096,14336
80,14336,4096
80,4096,14336
80,768,4096
80,4096,512
88,768,4096
88,14336,4096
88,4096,14336
88,4096,512
96,768,4096
96,4096,512
96,14336,4096
96,4096,14336
104,14336,4096
104,4096,512
104,4096,14336
104,768,4096
112,14336,4096
112,4096,14336
112,4096,512
112,768,4096
120,4096,14336
120,4096,512
120,768,4096
120,14336,4096
128,14336,4096
128,768,4096
128,4096,14336
128,4096,512
136,14336,4096
136,4096,14336
136,768,4096
136,4096,512
144,768,4096
144,4096,512
144,14336,4096
144,4096,14336
152,14336,4096
152,4096,14336
152,4096,512
152,768,4096
160,4096,14336
160,4096,512
160,14336,4096
160,768,4096
168,4096,512
168,14336,4096
168,4096,14336
168,768,4096
176,768,4096
176,4096,512
176,14336,4096
176,4096,14336
184,14336,4096
184,4096,14336
184,4096,512
184,768,4096
192,768,4096
192,4096,14336
192,4096,512
192,14336,4096
200,4096,512
200,14336,4096
200,4096,14336
200,768,4096
208,14336,4096
208,4096,14336
208,768,4096
208,4096,512
216,4096,14336
216,4096,512
216,14336,4096
216,768,4096
224,768,4096
224,14336,4096
224,4096,14336
224,4096,512
232,768,4096
232,4096,14336
232,4096,512
232,14336,4096
240,768,4096
240,14336,4096
240,4096,512
240,4096,14336
248,4096,512
248,14336,4096
248,4096,14336
248,768,4096
256,14336,4096
256,4096,14336
256,4096,512
256,768,4096
512,14336,4096
512,768,4096
512,4096,14336
512,4096,512
1024,4096,512
1024,14336,4096
1024,768,4096
1024,4096,14336
1536,4096,14336
1536,4096,512
1536,14336,4096
1536,768,4096
2048,14336,4096
2048,4096,512
2048,4096,14336
2048,768,4096
3072,4096,512
3072,14336,4096
3072,4096,14336
3072,768,4096
4096,4096,14336
4096,768,4096
4096,14336,4096
4096,4096,512
8192,4096,14336
8192,4096,512
8192,14336,4096
8192,768,4096
16384,14336,4096
16384,4096,14336
16384,768,4096
16384,4096,512
18432,4096,14336
18432,4096,512
18432,14336,4096
18432,768,4096
20480,14336,4096
20480,4096,14336
20480,768,4096
20480,4096,512
32768,768,4096
32768,4096,512
32768,14336,4096
32768,4096,14336
