M,N,K
1,5120,8192
1,8192,14336
1,8192,4096
1,28672,8192
2,8192,4096
2,5120,8192
2,8192,14336
2,28672,8192
4,5120,8192
4,8192,14336
4,8192,4096
4,28672,8192
8,8192,4096
8,8192,14336
8,28672,8192
8,5120,8192
16,8192,14336
16,5120,8192
16,28672,8192
16,8192,4096
17,8192,14336
17,28672,8192
17,8192,4096
17,5120,8192
24,28672,8192
24,8192,4096
24,5120,8192
24,8192,14336
32,8192,4096
32,5120,8192
32,28672,8192
32,8192,14336
40,8192,4096
40,5120,8192
40,8192,14336
40,28672,8192
48,5120,8192
48,8192,4096
48,28672,8192
48,8192,14336
56,8192,4096
56,8192,14336
56,28672,8192
56,5120,8192
64,5120,8192
64,28672,8192
64,8192,14336
64,8192,4096
72,8192,14336
72,8192,4096
72,28672,8192
72,5120,8192
80,8192,4096
80,5120,8192
80,28672,8192
80,8192,14336
88,8192,4096
88,5120,8192
88,28672,8192
88,8192,14336
96,5120,8192
96,8192,14336
96,8192,4096
96,28672,8192
104,8192,14336
104,8192,4096
104,28672,8192
104,5120,8192
112,28672,8192
112,5120,8192
112,8192,14336
112,8192,4096
120,5120,8192
120,8192,4096
120,28672,8192
120,8192,14336
128,5120,8192
128,28672,8192
128,8192,4096
128,8192,14336
136,5120,8192
136,8192,14336
136,8192,4096
136,28672,8192
144,5120,8192
144,8192,14336
144,8192,4096
144,28672,8192
152,8192,4096
152,28672,8192
152,8192,14336
152,5120,8192
160,8192,4096
160,5120,8192
160,28672,8192
160,8192,14336
168,8192,14336
168,5120,8192
168,8192,4096
168,28672,8192
176,5120,8192
176,28672,8192
176,8192,4096
176,8192,14336
184,28672,8192
184,5120,8192
184,8192,14336
184,8192,4096
192,8192,4096
192,5120,8192
192,28672,8192
192,8192,14336
200,8192,14336
200,8192,4096
200,5120,8192
200,28672,8192
208,5120,8192
208,8192,14336
208,8192,4096
208,28672,8192
216,8192,14336
216,5120,8192
216,8192,4096
216,28672,8192
224,5120,8192
224,28672,8192
224,8192,4096
224,8192,14336
232,8192,4096
232,5120,8192
232,28672,8192
232,8192,14336
240,8192,4096
240,28672,8192
240,8192,14336
240,5120,8192
248,8192,4096
248,28672,8192
248,5120,8192
248,8192,14336
256,8192,14336
256,28672,8192
256,8192,4096
256,5120,8192
512,8192,4096
512,5120,8192
512,28672,8192
512,8192,14336
1024,5120,8192
1024,8192,4096
1024,28672,8192
1024,8192,14336
1536,8192,4096
1536,28672,8192
1536,8192,14336
1536,5120,8192
2048,28672,8192
2048,5120,8192
2048,8192,14336
2048,8192,4096
3072,5120,8192
3072,8192,14336
3072,8192,4096
3072,28672,8192
4096,5120,8192
4096,8192,14336
4096,8192,4096
4096,28672,8192
8192,5120,8192
8192,28672,8192
8192,8192,4096
8192,8192,14336
16384,8192,4096
16384,5120,8192
16384,28672,8192
16384,8192,14336
18432,8192,4096
18432,8192,14336
18432,5120,8192
18432,28672,8192
20480,8192,4096
20480,5120,8192
20480,28672,8192
20480,8192,14336
32768,5120,8192
32768,28672,8192
32768,8192,4096
32768,8192,14336
