M,N,K
1,14336,4096
1,4096,1024
1,4096,14336
1,1536,4096
2,14336,4096
2,4096,14336
2,1536,4096
2,4096,1024
4,14336,4096
4,4096,14336
4,1536,4096
4,4096,1024
8,1536,4096
8,14336,4096
8,4096,1024
8,4096,14336
16,14336,4096
16,4096,1024
16,4096,14336
16,1536,4096
17,1536,4096
17,14336,4096
17,4096,14336
17,4096,1024
24,4096,1024
24,14336,4096
24,4096,14336
24,1536,4096
32,14336,4096
32,4096,14336
32,4096,1024
32,1536,4096
40,1536,4096
40,14336,4096
40,4096,14336
40,4096,1024
48,1536,4096
48,4096,1024
48,14336,4096
48,4096,14336
56,1536,4096
56,4096,1024
56,14336,4096
56,4096,14336
64,1536,4096
64,4096,14336
64,4096,1024
64,14336,4096
72,1536,4096
72,4096,1024
72,14336,4096
72,4096,14336
80,14336,4096
80,4096,14336
80,1536,4096
80,4096,1024
88,1536,4096
88,4096,1024
88,14336,4096
88,4096,14336
96,1536,4096
96,4096,1024
96,14336,4096
96,4096,14336
104,14336,4096
104,4096,1024
104,4096,14336
104,1536,4096
112,4096,1024
112,14336,4096
112,4096,14336
112,1536,4096
120,4096,14336
120,1536,4096
120,4096,1024
120,14336,4096
128,14336,4096
128,1536,4096
128,4096,14336
128,4096,1024
136,14336,4096
136,4096,14336
136,1536,4096
136,4096,1024
144,1536,4096
144,4096,1024
144,14336,4096
144,4096,14336
152,4096,1024
152,14336,4096
152,4096,14336
152,1536,4096
160,4096,14336
160,4096,1024
160,14336,4096
160,1536,4096
168,4096,1024
168,14336,4096
168,4096,14336
168,1536,4096
176,1536,4096
176,4096,1024
176,14336,4096
176,4096,14336
184,4096,1024
184,14336,4096
184,4096,14336
184,1536,4096
192,1536,4096
192,4096,14336
192,4096,1024
192,14336,4096
200,4096,1024
200,14336,4096
200,4096,14336
200,1536,4096
208,4096,1024
208,14336,4096
208,4096,14336
208,1536,4096
216,4096,14336
216,4096,1024
216,14336,4096
216,1536,4096
224,1536,4096
224,4096,1024
224,14336,4096
224,4096,14336
232,1536,4096
232,4096,14336
232,4096,1024
232,14336,4096
240,1536,4096
240,14336,4096
240,4096,1024
240,4096,14336
248,4096,1024
248,14336,4096
248,4096,14336
248,1536,4096
256,1536,4096
256,14336,4096
256,4096,14336
256,4096,1024
512,14336,4096
512,1536,4096
512,4096,14336
512,4096,1024
1024,4096,1024
1024,14336,4096
1024,1536,4096
1024,4096,14336
1536,1536,4096
1536,4096,14336
1536,4096,1024
1536,14336,4096
2048,14336,4096
2048,4096,1024
2048,4096,14336
2048,1536,4096
3072,4096,1024
3072,14336,4096
3072,4096,14336
3072,1536,4096
4096,4096,14336
4096,1536,4096
4096,14336,4096
4096,4096,1024
8192,1536,4096
8192,4096,14336
8192,4096,1024
8192,14336,4096
16384,4096,1024
16384,14336,4096
16384,4096,14336
16384,1536,4096
18432,1536,4096
18432,4096,14336
18432,4096,1024
18432,14336,4096
20480,4096,1024
20480,14336,4096
20480,4096,14336
20480,1536,4096
32768,1536,4096
32768,4096,1024
32768,14336,4096
32768,4096,14336
