M,N,K
1,16384,6144
1,6144,1536
1,6144,16384
1,2048,6144
2,2048,6144
2,6144,1536
2,6144,16384
2,16384,6144
4,2048,6144
4,16384,6144
4,6144,1536
4,6144,16384
8,16384,6144
8,6144,1536
8,6144,16384
8,2048,6144
16,16384,6144
16,6144,1536
16,6144,16384
16,2048,6144
17,6144,16384
17,16384,6144
17,2048,6144
17,6144,1536
24,16384,6144
24,2048,6144
24,6144,1536
24,6144,16384
32,6144,16384
32,2048,6144
32,6144,1536
32,16384,6144
40,2048,6144
40,16384,6144
40,6144,1536
40,6144,16384
48,2048,6144
48,6144,1536
48,16384,6144
48,6144,16384
56,16384,6144
56,6144,1536
56,6144,16384
56,2048,6144
64,6144,1536
64,16384,6144
64,6144,16384
64,2048,6144
72,16384,6144
72,6144,1536
72,6144,16384
72,2048,6144
80,6144,1536
80,6144,16384
80,2048,6144
80,16384,6144
88,2048,6144
88,6144,1536
88,16384,6144
88,6144,16384
96,6144,1536
96,16384,6144
96,6144,16384
96,2048,6144
104,6144,1536
104,16384,6144
104,6144,16384
104,2048,6144
112,6144,1536
112,16384,6144
112,6144,16384
112,2048,6144
120,6144,1536
120,6144,16384
120,2048,6144
120,16384,6144
128,2048,6144
128,6144,1536
128,16384,6144
128,6144,16384
136,2048,6144
136,16384,6144
136,6144,1536
136,6144,16384
144,16384,6144
144,6144,1536
144,6144,16384
144,2048,6144
152,2048,6144
152,6144,1536
152,6144,16384
152,16384,6144
160,6144,1536
160,16384,6144
160,6144,16384
160,2048,6144
168,16384,6144
168,6144,1536
168,6144,16384
168,2048,6144
176,2048,6144
176,6144,1536
176,16384,6144
176,6144,16384
184,6144,1536
184,16384,6144
184,6144,16384
184,2048,6144
192,16384,6144
192,6144,16384
192,2048,6144
192,6144,1536
200,16384,6144
200,6144,1536
200,6144,16384
200,2048,6144
208,6144,16384
208,2048,6144
208,16384,6144
208,6144,1536
216,16384,6144
216,2048,6144
216,6144,1536
216,6144,16384
224,2048,6144
224,6144,1536
224,6144,16384
224,16384,6144
232,16384,6144
232,6144,1536
232,6144,16384
232,2048,6144
240,16384,6144
240,6144,1536
240,6144,16384
240,2048,6144
248,6144,1536
248,6144,16384
248,16384,6144
248,2048,6144
256,6144,1536
256,6144,16384
256,16384,6144
256,2048,6144
512,6144,1536
512,6144,16384
512,16384,6144
512,2048,6144
1024,2048,6144
1024,6144,1536
1024,6144,16384
1024,16384,6144
1536,6144,1536
1536,16384,6144
1536,6144,16384
1536,2048,6144
2048,16384,6144
2048,6144,1536
2048,6144,16384
2048,2048,6144
3072,2048,6144
3072,16384,6144
3072,6144,1536
3072,6144,16384
4096,6144,1536
4096,16384,6144
4096,6144,16384
4096,2048,6144
8192,16384,6144
8192,6144,1536
8192,6144,16384
8192,2048,6144
16384,6144,16384
16384,2048,6144
16384,16384,6144
16384,6144,1536
18432,6144,1536
18432,6144,16384
18432,16384,6144
18432,2048,6144
20480,6144,16384
20480,2048,6144
20480,16384,6144
20480,6144,1536
65536,16384,6144
65536,6144,1536
65536,6144,16384
65536,2048,6144
