M,N,K
1,6144,768
1,1024,6144
1,16384,6144
1,6144,16384
2,1024,6144
2,6144,768
2,6144,16384
2,16384,6144
4,16384,6144
4,6144,768
4,1024,6144
4,6144,16384
8,6144,768
8,1024,6144
8,16384,6144
8,6144,16384
16,6144,768
16,1024,6144
16,16384,6144
16,6144,16384
17,6144,16384
17,6144,768
17,1024,6144
17,16384,6144
24,16384,6144
24,1024,6144
24,6144,768
24,6144,16384
32,6144,768
32,1024,6144
32,6144,16384
32,16384,6144
40,6144,768
40,1024,6144
40,16384,6144
40,6144,16384
48,6144,768
48,1024,6144
48,16384,6144
48,6144,16384
56,6144,768
56,1024,6144
56,16384,6144
56,6144,16384
64,1024,6144
64,16384,6144
64,6144,16384
64,6144,768
72,1024,6144
72,16384,6144
72,6144,768
72,6144,16384
80,6144,768
80,6144,16384
80,1024,6144
80,16384,6144
88,6144,768
88,16384,6144
88,6144,16384
88,1024,6144
96,1024,6144
96,16384,6144
96,6144,768
96,6144,16384
104,1024,6144
104,16384,6144
104,6144,768
104,6144,16384
112,6144,768
112,1024,6144
112,16384,6144
112,6144,16384
120,1024,6144
120,6144,16384
120,16384,6144
120,6144,768
128,6144,768
128,1024,6144
128,16384,6144
128,6144,16384
136,16384,6144
136,6144,768
136,1024,6144
136,6144,16384
144,1024,6144
144,16384,6144
144,6144,768
144,6144,16384
152,6144,768
152,6144,16384
152,1024,6144
152,16384,6144
160,6144,768
160,1024,6144
160,16384,6144
160,6144,16384
168,6144,768
168,1024,6144
168,16384,6144
168,6144,16384
176,1024,6144
176,6144,768
176,16384,6144
176,6144,16384
184,6144,768
184,1024,6144
184,16384,6144
184,6144,16384
192,6144,768
192,1024,6144
192,16384,6144
192,6144,16384
200,6144,768
200,1024,6144
200,16384,6144
200,6144,16384
208,6144,16384
208,6144,768
208,1024,6144
208,16384,6144
216,16384,6144
216,6144,768
216,1024,6144
216,6144,16384
224,6144,768
224,6144,16384
224,1024,6144
224,16384,6144
232,16384,6144
232,6144,768
232,1024,6144
232,6144,16384
240,6144,768
240,1024,6144
240,16384,6144
240,6144,16384
248,6144,768
248,1024,6144
248,6144,16384
248,16384,6144
256,6144,16384
256,1024,6144
256,16384,6144
256,6144,768
512,6144,768
512,6144,16384
512,1024,6144
512,16384,6144
1024,6144,768
1024,6144,16384
1024,1024,6144
1024,16384,6144
1536,6144,768
1536,1024,6144
1536,16384,6144
1536,6144,16384
2048,1024,6144
2048,16384,6144
2048,6144,16384
2048,6144,768
3072,6144,768
3072,1024,6144
3072,16384,6144
3072,6144,16384
4096,1024,6144
4096,16384,6144
4096,6144,768
4096,6144,16384
8192,6144,768
8192,1024,6144
8192,16384,6144
8192,6144,16384
16384,6144,16384
16384,6144,768
16384,1024,6144
16384,16384,6144
18432,6144,16384
18432,6144,768
18432,1024,6144
18432,16384,6144
20480,6144,16384
20480,6144,768
20480,1024,6144
20480,16384,6144
65536,6144,768
65536,1024,6144
65536,16384,6144
65536,6144,16384
