M,N,K
1,4096,512
1,4096,1792
1,3584,4096
1,768,4096
2,4096,1792
2,3584,4096
2,4096,512
2,768,4096
4,3584,4096
4,768,4096
4,4096,512
4,4096,1792
8,768,4096
8,4096,512
8,4096,1792
8,3584,4096
16,4096,512
16,4096,1792
16,3584,4096
16,768,4096
17,4096,1792
17,3584,4096
17,4096,512
17,768,4096
24,4096,1792
24,3584,4096
24,4096,512
24,768,4096
32,4096,1792
32,4096,512
32,768,4096
32,3584,4096
40,768,4096
40,3584,4096
40,4096,1792
40,4096,512
48,4096,512
48,3584,4096
48,768,4096
48,4096,1792
56,768,4096
56,4096,512
56,4096,1792
56,3584,4096
64,768,4096
64,4096,1792
64,4096,512
64,3584,4096
72,768,4096
72,4096,512
72,4096,1792
72,3584,4096
80,4096,1792
80,768,4096
80,3584,4096
80,4096,512
88,3584,4096
88,768,4096
88,4096,1792
88,4096,512
96,768,4096
96,4096,512
96,4096,1792
96,3584,4096
104,4096,512
104,4096,1792
104,768,4096
104,3584,4096
112,4096,1792
112,4096,512
112,768,4096
112,3584,4096
120,4096,512
120,3584,4096
120,768,4096
120,4096,1792
128,768,4096
128,3584,4096
128,4096,1792
128,4096,512
136,4096,1792
136,3584,4096
136,768,4096
136,4096,512
144,768,4096
144,4096,512
144,4096,1792
144,3584,4096
152,4096,1792
152,4096,512
152,3584,4096
152,768,4096
160,4096,1792
160,4096,512
160,3584,4096
160,768,4096
168,4096,512
168,4096,1792
168,3584,4096
168,768,4096
176,3584,4096
176,768,4096
176,4096,512
176,4096,1792
184,4096,1792
184,4096,512
184,3584,4096
184,768,4096
192,768,4096
192,3584,4096
192,4096,512
192,4096,1792
200,4096,512
200,4096,1792
200,3584,4096
200,768,4096
208,4096,1792
208,3584,4096
208,768,4096
208,4096,512
216,4096,1792
216,3584,4096
216,4096,512
216,768,4096
224,768,4096
224,4096,1792
224,4096,512
224,3584,4096
232,3584,4096
232,768,4096
232,4096,512
232,4096,1792
240,3584,4096
240,768,4096
240,4096,512
240,4096,1792
248,4096,512
248,4096,1792
248,3584,4096
248,768,4096
256,4096,1792
256,3584,4096
256,4096,512
256,768,4096
512,768,4096
512,4096,1792
512,3584,4096
512,4096,512
1024,4096,512
1024,768,4096
1024,4096,1792
1024,3584,4096
1536,4096,1792
1536,3584,4096
1536,4096,512
1536,768,4096
2048,4096,512
2048,4096,1792
2048,3584,4096
2048,768,4096
3072,4096,512
3072,4096,1792
3072,3584,4096
3072,768,4096
4096,768,4096
4096,3584,4096
4096,4096,1792
4096,4096,512
8192,3584,4096
8192,4096,1792
8192,4096,512
8192,768,4096
16384,4096,1792
16384,3584,4096
16384,768,4096
16384,4096,512
18432,4096,1792
18432,4096,512
18432,3584,4096
18432,768,4096
20480,4096,1792
20480,3584,4096
20480,768,4096
20480,4096,512
32768,3584,4096
32768,768,4096
32768,4096,512
32768,4096,1792
