M,N,K
1,14336,4096
1,6144,4096
1,4096,4096
1,4096,14336
2,14336,4096
2,4096,14336
2,4096,4096
2,6144,4096
4,14336,4096
4,4096,14336
4,6144,4096
4,4096,4096
8,14336,4096
8,6144,4096
8,4096,4096
8,4096,14336
16,14336,4096
16,6144,4096
16,4096,4096
16,4096,14336
17,14336,4096
17,4096,14336
17,4096,4096
17,6144,4096
24,4096,4096
24,14336,4096
24,4096,14336
24,6144,4096
32,14336,4096
32,4096,14336
32,6144,4096
32,4096,4096
40,14336,4096
40,4096,14336
40,6144,4096
40,4096,4096
48,6144,4096
48,4096,4096
48,14336,4096
48,4096,14336
56,6144,4096
56,4096,4096
56,14336,4096
56,4096,14336
64,6144,4096
64,4096,14336
64,4096,4096
64,14336,4096
72,6144,4096
72,4096,4096
72,14336,4096
72,4096,14336
80,14336,4096
80,6144,4096
80,4096,14336
80,4096,4096
88,6144,4096
88,4096,4096
88,14336,4096
88,4096,14336
96,6144,4096
96,4096,4096
96,14336,4096
96,4096,14336
104,14336,4096
104,6144,4096
104,4096,4096
104,4096,14336
112,4096,4096
112,14336,4096
112,6144,4096
112,4096,14336
120,4096,14336
120,4096,4096
120,14336,4096
120,6144,4096
128,14336,4096
128,6144,4096
128,4096,14336
128,4096,4096
136,14336,4096
136,4096,14336
136,6144,4096
136,4096,4096
144,6144,4096
144,4096,4096
144,14336,4096
144,4096,14336
152,6144,4096
152,4096,4096
152,14336,4096
152,4096,14336
160,4096,4096
160,6144,4096
160,4096,14336
160,14336,4096
168,6144,4096
168,4096,4096
168,14336,4096
168,4096,14336
176,4096,4096
176,14336,4096
176,6144,4096
176,4096,14336
184,4096,4096
184,14336,4096
184,6144,4096
184,4096,14336
192,6144,4096
192,4096,14336
192,4096,4096
192,14336,4096
200,6144,4096
200,4096,4096
200,14336,4096
200,4096,14336
208,4096,4096
208,14336,4096
208,4096,14336
208,6144,4096
216,4096,14336
216,4096,4096
216,14336,4096
216,6144,4096
224,6144,4096
224,4096,4096
224,14336,4096
224,4096,14336
232,4096,14336
232,6144,4096
232,4096,4096
232,14336,4096
240,14336,4096
240,6144,4096
240,4096,4096
240,4096,14336
248,6144,4096
248,4096,4096
248,14336,4096
248,4096,14336
256,14336,4096
256,4096,14336
256,4096,4096
256,6144,4096
512,14336,4096
512,6144,4096
512,4096,14336
512,4096,4096
1024,4096,4096
1024,14336,4096
1024,6144,4096
1024,4096,14336
1536,6144,4096
1536,4096,14336
1536,4096,4096
1536,14336,4096
2048,6144,4096
2048,14336,4096
2048,4096,4096
2048,4096,14336
3072,4096,4096
3072,14336,4096
3072,4096,14336
3072,6144,4096
4096,4096,14336
4096,14336,4096
4096,6144,4096
4096,4096,4096
8192,4096,14336
8192,6144,4096
8192,4096,4096
8192,14336,4096
16384,4096,4096
16384,14336,4096
16384,4096,14336
16384,6144,4096
18432,4096,14336
18432,6144,4096
18432,4096,4096
18432,14336,4096
20480,4096,4096
20480,14336,4096
20480,4096,14336
20480,6144,4096
32768,6144,4096
32768,4096,4096
32768,14336,4096
32768,4096,14336
