M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
64,256,5120,False,torch.bfloat16,torch.float32,False,False
80,256,5120,False,torch.bfloat16,torch.float32,False,False
128,256,5120,False,torch.bfloat16,torch.float32,False,False
150,256,5120,False,torch.bfloat16,torch.float32,False,False
192,256,5120,False,torch.bfloat16,torch.float32,False,False
220,256,5120,False,torch.bfloat16,torch.float32,False,False
256,256,5120,False,torch.bfloat16,torch.float32,False,False
384,256,5120,False,torch.bfloat16,torch.float32,False,False
448,256,5120,False,torch.bfloat16,torch.float32,False,False
512,256,5120,False,torch.bfloat16,torch.float32,False,False
1,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
1,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
1,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
1,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
2,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
2,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
2,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
2,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
4,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
4,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
4,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
4,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
8,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
8,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
8,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
8,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
16,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
16,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
16,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
16,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
32,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
32,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
32,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
32,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
64,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
64,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
64,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
64,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
128,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
128,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
128,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
128,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
256,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
256,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
256,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
256,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
512,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
512,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
512,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
512,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
1024,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
1024,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
1024,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
1024,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
2048,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
2048,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
2048,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
2048,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
4096,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
4096,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
4096,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
4096,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
8192,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
8192,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
8192,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
8192,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
16384,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
16384,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
16384,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
16384,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
32768,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
32768,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
32768,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
32768,201088,2880,False,torch.bfloat16,torch.bfloat16,False,False
1,5120,2880,True,torch.bfloat16,torch.bfloat16,False,True
1,2880,4096,True,torch.bfloat16,torch.bfloat16,False,True
1,128,2880,True,torch.bfloat16,torch.bfloat16,False,True
1,201088,2880,False,torch.bfloat16,torch.bfloat16,False,True
2,5120,2880,True,torch.bfloat16,torch.bfloat16,False,True
2,2880,4096,True,torch.bfloat16,torch.bfloat16,False,True
2,128,2880,True,torch.bfloat16,torch.bfloat16,False,True
2,201088,2880,False,torch.bfloat16,torch.bfloat16,False,True
4,5120,2880,True,torch.bfloat16,torch.bfloat16,False,True
4,2880,4096,True,torch.bfloat16,torch.bfloat16,False,True
4,128,2880,True,torch.bfloat16,torch.bfloat16,False,True
4,201088,2880,False,torch.bfloat16,torch.bfloat16,False,True
8,5120,2880,True,torch.bfloat16,torch.bfloat16,False,True
8,2880,4096,True,torch.bfloat16,torch.bfloat16,False,True
8,128,2880,True,torch.bfloat16,torch.bfloat16,False,True
8,201088,2880,False,torch.bfloat16,torch.bfloat16,False,True
16,5120,2880,True,torch.bfloat16,torch.bfloat16,False,True
16,2880,4096,True,torch.bfloat16,torch.bfloat16,False,True
16,128,2880,True,torch.bfloat16,torch.bfloat16,False,True
16,201088,2880,False,torch.bfloat16,torch.bfloat16,False,True
32,5120,2880,True,torch.bfloat16,torch.bfloat16,False,True
32,2880,4096,True,torch.bfloat16,torch.bfloat16,False,True
32,128,2880,True,torch.bfloat16,torch.bfloat16,False,True
32,201088,2880,False,torch.bfloat16,torch.bfloat16,False,True
64,5120,2880,True,torch.bfloat16,torch.bfloat16,False,True
64,2880,4096,True,torch.bfloat16,torch.bfloat16,False,True
64,128,2880,True,torch.bfloat16,torch.bfloat16,False,True
64,201088,2880,False,torch.bfloat16,torch.bfloat16,False,True
128,5120,2880,True,torch.bfloat16,torch.bfloat16,False,True
