M,N,K
16, 1536, 7168
16, 576, 7168
16, 7168, 256
16, 4608, 7168
16, 7168, 2304
16, 512, 7168
32, 1536, 7168
32, 576, 7168
32, 7168, 256
32, 4608, 7168
32, 7168, 2304
32, 512, 7168
64, 1536, 7168
64, 576, 7168
64, 7168, 256
64, 4608, 7168
64, 7168, 2304
64, 512, 7168
128, 1536, 7168
128, 576, 7168
128, 7168, 256
128, 4608, 7168
128, 7168, 2304
128, 512, 7168
128, 4096, 1280
128, 1024, 4096
256, 1536, 7168
256, 576, 7168
256, 7168, 256
256, 4608, 7168
256, 7168, 2304
256, 512, 7168
512, 1536, 7168
512, 576, 7168
512, 7168, 256
512, 4608, 7168
512, 7168, 2304
512, 512, 7168
1024, 1536, 7168
1024, 576, 7168
1024, 7168, 256
1024, 4608, 7168
1024, 7168, 2304
1024, 512, 7168
1536, 1536, 7168
1536, 576, 7168
1536, 7168, 256
1536, 4608, 7168
1536, 7168, 2304
1536, 512, 7168
2048, 1536, 7168
2048, 576, 7168
2048, 7168, 256
2048, 4608, 7168
2048, 7168, 2304
2048, 512, 7168
4096, 1536, 7168
4096, 576, 7168
4096, 7168, 256
4096, 4608, 7168
4096, 7168, 2304
4096, 512, 7168
8192, 1536, 7168
8192, 576, 7168
8192, 7168, 256
8192, 4608, 7168
8192, 7168, 2304
8192, 512, 7168
16384, 1536, 7168
16384, 576, 7168
16384, 7168, 256
16384, 4608, 7168
16384, 7168, 2304
16384, 512, 7168
20480, 1536, 7168
20480, 576, 7168
20480, 7168, 256
20480, 4608, 7168
20480, 7168, 2304
20480, 512, 7168
1,2560,2048
2,2560,2048
4,2560,2048
8,2560,2048
16,2560,2048
24,2560,2048
32,2560,2048
40,2560,2048
48,2560,2048
56,2560,2048
64,2560,2048
72,2560,2048
80,2560,2048
88,2560,2048
96,2560,2048
104,2560,2048
112,2560,2048
120,2560,2048
128,2560,2048
136,2560,2048
144,2560,2048
152,2560,2048
160,2560,2048
168,2560,2048
176,2560,2048
184,2560,2048
192,2560,2048
200,2560,2048
208,2560,2048
216,2560,2048
224,2560,2048
232,2560,2048
240,2560,2048
248,2560,2048
256,2560,2048
272,2560,2048
288,2560,2048
304,2560,2048
320,2560,2048
336,2560,2048
352,2560,2048
368,2560,2048
384,2560,2048
400,2560,2048
416,2560,2048
432,2560,2048
448,2560,2048
464,2560,2048
480,2560,2048
496,2560,2048
512,2560,2048
8192,2560,2048

