gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag,comm_tp,comm_add_shared,comm_kernel_name,comm_stage2_tp_us
gfx950,256,1,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,11.3971,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_kw4_fp8,0.0%,6.3281,flydsl_moe2_layout_afp8_wfp4_bf16_t32x128x128_atomic_nt_sbm32,0.0%,17.7252,0,0,0,4.26,68150.32,,8,1,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg8_w2,17.3462
gfx950,256,2,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.1767,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w2_bnt0_gui_xcd4_kw4_fp8,0.0%,8.4034,flydsl_moe2_layout_afp8_wfp4_bf16_t32x256x128_atomic_nt_sbm32,0.0%,20.5801,0,0,0,7.34,58697.31,,8,1,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg16_v8_bnt2,13.9421
gfx950,256,4,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,14.5813,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w2_bnt0_gui_kw2_fp8,0.0%,9.7864,flydsl_moe2_layout_afp8_wfp4_bf16_t32x128x256_atomic_sbm32,0.0%,24.3677,0,0,0,12.39,49575.19,,8,1,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg32_v8,15.2302
gfx950,256,8,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,21.2448,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w3_gui_kw2_fp8,0.0%,16.3334,flydsl_moe2_layout_afp8_wfp4_bf16_t32x128x128_reduce_sbm32,0.0%,37.5782,0,0,0,16.07,32149.15,,8,1,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg64_v8_bnt2,21.4242
gfx950,256,16,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,36.5562,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_xcd4_fp8,0.0%,23.4332,flydsl_moe2_layout_afp8_wfp4_bf16_t32x128x256_reduce_nt_sbm32,0.0%,59.9894,0,0,0,20.14,20141.13,,8,1,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg128_w2_bnt2,32.3163
gfx950,256,1,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.2676,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_kw4_fp8,0.0%,8.3044,flydsl_moe2_layout_afp8_wfp4_bf16_t32x128x256_atomic_nt_sbm32,0.0%,20.572,0,0,0,7.34,117438.15,,4,1,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg8_v8_w2_bnt2,13.2721
gfx950,256,2,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,14.5329,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w2_gui_xcd4_kw4_fp8,0.0%,9.8615,flydsl_moe2_layout_afp8_wfp4_bf16_t32x128x128_atomic_sbm32,0.0%,24.3944,0,0,0,12.38,99037.32,,4,1,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg16_v8,15.0701
gfx950,256,4,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,21.2371,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w2_gui_kw2_fp8,0.0%,15.2165,flydsl_moe2_layout_afp8_wfp4_bf16_t32x128x256_reduce_sbm32,0.0%,36.4536,0,0,0,16.57,66275.84,,4,1,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg32_v8_w2_bnt2,20.6961
gfx950,256,8,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,37.0604,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_xcd4_fp8,0.0%,23.2054,flydsl_moe2_layout_afp8_wfp4_bf16_t32x128x256_reduce_nt_sbm32,0.0%,60.2658,0,0,0,20.04,40090.18,,4,1,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x128_cg64_v8_w2_bnt2,32.4323
gfx950,256,16,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,68.9184,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w3_gui_kw2_fp8,0.0%,39.314,flydsl_moe2_layout_afp8_wfp4_bf16_t32x128x256_atomic_nt_sbm32,0.0%,108.2324,0,0,0,22.32,22324.31,,4,1,flydsl_comm_moe2_afp8_wfp4_bf16_t32x256x256_cg64_w2_bnt2,47.1864
