M,N,K
1,512,2048
2,512,2048
4,512,2048
8,512,2048
16,512,2048
24,512,2048
32,512,2048
40,512,2048
48,512,2048
56,512,2048
64,512,2048
72,512,2048
80,512,2048
88,512,2048
96,512,2048
104,512,2048
112,512,2048
120,512,2048
128,512,2048
136,512,2048
144,512,2048
152,512,2048
160,512,2048
168,512,2048
176,512,2048
184,512,2048
192,512,2048
200,512,2048
208,512,2048
216,512,2048
224,512,2048
232,512,2048
240,512,2048
248,512,2048
256,512,2048
264,512,2048
272,512,2048
280,512,2048
288,512,2048
296,512,2048
304,512,2048
312,512,2048
320,512,2048
328,512,2048
336,512,2048
344,512,2048
352,512,2048
360,512,2048
368,512,2048
376,512,2048
384,512,2048
392,512,2048
400,512,2048
408,512,2048
416,512,2048
424,512,2048
432,512,2048
440,512,2048
448,512,2048
456,512,2048
464,512,2048
472,512,2048
480,512,2048
488,512,2048
496,512,2048
504,512,2048
512,512,2048
1024,512,2048
2048,512,2048
4096,512,2048
8192,512,2048
16384,512,2048
20480,512,2048
16,512,7168
32,512,7168
64,512,7168
128,512,7168
256,512,7168
512,512,7168
1024,512,7168
1536,512,7168
2048,512,7168
4096,512,7168
8192,512,7168
16384,512,7168
20480,512,7168
16,576,7168
32,576,7168
64,576,7168
128,576,7168
256,576,7168
512,576,7168
1024,576,7168
1536,576,7168
2048,576,7168
4096,576,7168
8192,576,7168
16384,576,7168
20480,576,7168
128,1024,4096
16,1536,7168
32,1536,7168
64,1536,7168
128,1536,7168
256,1536,7168
512,1536,7168
1024,1536,7168
1536,1536,7168
2048,1536,7168
4096,1536,7168
8192,1536,7168
16384,1536,7168
20480,1536,7168
1,2048,256
2,2048,256
4,2048,256
8,2048,256
16,2048,256
24,2048,256
32,2048,256
40,2048,256
48,2048,256
56,2048,256
64,2048,256
72,2048,256
80,2048,256
88,2048,256
96,2048,256
104,2048,256
112,2048,256
120,2048,256
128,2048,256
136,2048,256
144,2048,256
152,2048,256
160,2048,256
168,2048,256
176,2048,256
184,2048,256
192,2048,256
200,2048,256
208,2048,256
216,2048,256
224,2048,256
232,2048,256
240,2048,256
248,2048,256
256,2048,256
264,2048,256
272,2048,256
280,2048,256
288,2048,256
296,2048,256
304,2048,256
312,2048,256
320,2048,256
328,2048,256
336,2048,256
344,2048,256
352,2048,256
360,2048,256
368,2048,256
376,2048,256
384,2048,256
392,2048,256
400,2048,256
408,2048,256
416,2048,256
424,2048,256
432,2048,256
440,2048,256
448,2048,256
456,2048,256
464,2048,256
472,2048,256
480,2048,256
488,2048,256
496,2048,256
504,2048,256
512,2048,256
1024,2048,256
2048,2048,256
4096,2048,256
8192,2048,256
16384,2048,256
20480,2048,256
1,2048,2048
2,2048,2048
4,2048,2048
8,2048,2048
16,2048,2048
24,2048,2048
32,2048,2048
40,2048,2048
48,2048,2048
56,2048,2048
64,2048,2048
72,2048,2048
80,2048,2048
88,2048,2048
96,2048,2048
104,2048,2048
112,2048,2048
120,2048,2048
128,2048,2048
136,2048,2048
144,2048,2048
152,2048,2048
160,2048,2048
168,2048,2048
176,2048,2048
184,2048,2048
192,2048,2048
200,2048,2048
208,2048,2048
216,2048,2048
224,2048,2048
232,2048,2048
240,2048,2048
248,2048,2048
256,2048,2048
264,2048,2048
272,2048,2048
280,2048,2048
288,2048,2048
296,2048,2048
304,2048,2048
312,2048,2048
320,2048,2048
328,2048,2048
336,2048,2048
344,2048,2048
352,2048,2048
360,2048,2048
368,2048,2048
376,2048,2048
384,2048,2048
392,2048,2048
400,2048,2048
408,2048,2048
416,2048,2048
424,2048,2048
432,2048,2048
440,2048,2048
448,2048,2048
456,2048,2048
464,2048,2048
472,2048,2048
480,2048,2048
488,2048,2048
496,2048,2048
504,2048,2048
512,2048,2048
1024,2048,2048
2048,2048,2048
4096,2048,2048
8192,2048,2048
16384,2048,2048
20480,2048,2048
1,2560,2048
2,2560,2048
4,2560,2048
8,2560,2048
16,2560,2048
24,2560,2048
32,2560,2048
40,2560,2048
48,2560,2048
56,2560,2048
64,2560,2048
72,2560,2048
80,2560,2048
88,2560,2048
96,2560,2048
104,2560,2048
112,2560,2048
120,2560,2048
128,2560,2048
136,2560,2048
144,2560,2048
152,2560,2048
160,2560,2048
168,2560,2048
176,2560,2048
184,2560,2048
192,2560,2048
200,2560,2048
208,2560,2048
216,2560,2048
224,2560,2048
232,2560,2048
240,2560,2048
248,2560,2048
256,2560,2048
272,2560,2048
288,2560,2048
304,2560,2048
320,2560,2048
336,2560,2048
352,2560,2048
368,2560,2048
384,2560,2048
400,2560,2048
416,2560,2048
432,2560,2048
448,2560,2048
464,2560,2048
480,2560,2048
496,2560,2048
512,2560,2048
8192,2560,2048
128,4096,1280
1,4608,2048
2,4608,2048
4,4608,2048
8,4608,2048
16,4608,2048
24,4608,2048
32,4608,2048
40,4608,2048
48,4608,2048
56,4608,2048
64,4608,2048
72,4608,2048
80,4608,2048
88,4608,2048
96,4608,2048
104,4608,2048
112,4608,2048
120,4608,2048
128,4608,2048
136,4608,2048
144,4608,2048
152,4608,2048
160,4608,2048
168,4608,2048
176,4608,2048
184,4608,2048
192,4608,2048
200,4608,2048
208,4608,2048
216,4608,2048
224,4608,2048
232,4608,2048
240,4608,2048
248,4608,2048
256,4608,2048
264,4608,2048
272,4608,2048
280,4608,2048
288,4608,2048
296,4608,2048
304,4608,2048
312,4608,2048
320,4608,2048
328,4608,2048
336,4608,2048
344,4608,2048
352,4608,2048
360,4608,2048
368,4608,2048
376,4608,2048
384,4608,2048
392,4608,2048
400,4608,2048
408,4608,2048
416,4608,2048
424,4608,2048
432,4608,2048
440,4608,2048
448,4608,2048
456,4608,2048
464,4608,2048
472,4608,2048
480,4608,2048
488,4608,2048
496,4608,2048
504,4608,2048
512,4608,2048
1024,4608,2048
2048,4608,2048
4096,4608,2048
8192,4608,2048
16384,4608,2048
20480,4608,2048
16,4608,7168
32,4608,7168
64,4608,7168
128,4608,7168
256,4608,7168
512,4608,7168
1024,4608,7168
1536,4608,7168
2048,4608,7168
4096,4608,7168
8192,4608,7168
16384,4608,7168
20480,4608,7168
1,6144,2048
2,6144,2048
4,6144,2048
8,6144,2048
16,6144,2048
24,6144,2048
32,6144,2048
40,6144,2048
48,6144,2048
56,6144,2048
64,6144,2048
72,6144,2048
80,6144,2048
88,6144,2048
96,6144,2048
104,6144,2048
112,6144,2048
120,6144,2048
128,6144,2048
136,6144,2048
144,6144,2048
152,6144,2048
160,6144,2048
168,6144,2048
176,6144,2048
184,6144,2048
192,6144,2048
200,6144,2048
208,6144,2048
216,6144,2048
224,6144,2048
232,6144,2048
240,6144,2048
248,6144,2048
256,6144,2048
264,6144,2048
272,6144,2048
280,6144,2048
288,6144,2048
296,6144,2048
304,6144,2048
312,6144,2048
320,6144,2048
328,6144,2048
336,6144,2048
344,6144,2048
352,6144,2048
360,6144,2048
368,6144,2048
376,6144,2048
384,6144,2048
392,6144,2048
400,6144,2048
408,6144,2048
416,6144,2048
424,6144,2048
432,6144,2048
440,6144,2048
448,6144,2048
456,6144,2048
464,6144,2048
472,6144,2048
480,6144,2048
488,6144,2048
496,6144,2048
504,6144,2048
512,6144,2048
1024,6144,2048
2048,6144,2048
4096,6144,2048
8192,6144,2048
16384,6144,2048
20480,6144,2048
