M,N,K
1,10240,5120
1,5120,8192
1,51200,5120
1,5120,25600
2,10240,5120
2,5120,8192
2,51200,5120
2,5120,25600
4,10240,5120
4,5120,8192
4,51200,5120
4,5120,25600
8,10240,5120
8,5120,8192
8,51200,5120
8,5120,25600
16,10240,5120
16,5120,8192
16,51200,5120
16,5120,25600
32,10240,5120
32,5120,8192
32,51200,5120
32,5120,25600
64,10240,5120
64,5120,8192
64,51200,5120
64,5120,25600
128,10240,5120
128,5120,8192
128,51200,5120
128,5120,25600
256,10240,5120
256,5120,8192
256,51200,5120
256,5120,25600
512,10240,5120
512,5120,8192
512,51200,5120
512,5120,25600
1024,10240,5120
1024,5120,8192
1024,51200,5120
1024,5120,25600
2048,10240,5120
2048,5120,8192
2048,51200,5120
2048,5120,25600
4096,10240,5120
4096,5120,8192
4096,51200,5120
4096,5120,25600
8192,10240,5120
8192,5120,8192
8192,51200,5120
8192,5120,25600
16384,10240,5120
16384,5120,8192
16384,51200,5120
16384,5120,25600
