M,N,K
1,6144,5120
1,1024,5120
1,5120,6144
1,17408,5120
1,34816,5120
1,5120,17408
2,6144,5120
2,1024,5120
2,5120,6144
2,17408,5120
2,34816,5120
2,5120,17408
4,6144,5120
4,1024,5120
4,5120,6144
4,17408,5120
4,34816,5120
4,5120,17408
8,6144,5120
8,1024,5120
8,5120,6144
8,17408,5120
8,34816,5120
8,5120,17408
16,6144,5120
16,1024,5120
16,5120,6144
16,17408,5120
16,34816,5120
16,5120,17408
32,6144,5120
32,1024,5120
32,5120,6144
32,17408,5120
32,34816,5120
32,5120,17408
48,6144,5120
48,1024,5120
48,5120,6144
48,17408,5120
48,34816,5120
48,5120,17408
64,6144,5120
64,1024,5120
64,5120,6144
64,17408,5120
64,34816,5120
64,5120,17408
80,6144,5120
80,1024,5120
80,5120,6144
80,17408,5120
80,34816,5120
80,5120,17408
96,6144,5120
96,1024,5120
96,5120,6144
96,17408,5120
96,34816,5120
96,5120,17408
112,6144,5120
112,1024,5120
112,5120,6144
112,17408,5120
112,34816,5120
112,5120,17408
128,6144,5120
128,1024,5120
128,5120,6144
128,17408,5120
128,34816,5120
128,5120,17408
144,6144,5120
144,1024,5120
144,5120,6144
144,17408,5120
144,34816,5120
144,5120,17408
160,6144,5120
160,1024,5120
160,5120,6144
160,17408,5120
160,34816,5120
160,5120,17408
176,6144,5120
176,1024,5120
176,5120,6144
176,17408,5120
176,34816,5120
176,5120,17408
192,6144,5120
192,1024,5120
192,5120,6144
192,17408,5120
192,34816,5120
192,5120,17408
208,6144,5120
208,1024,5120
208,5120,6144
208,17408,5120
208,34816,5120
208,5120,17408
224,6144,5120
224,1024,5120
224,5120,6144
224,17408,5120
224,34816,5120
224,5120,17408
240,6144,5120
240,1024,5120
240,5120,6144
240,17408,5120
240,34816,5120
240,5120,17408
256,6144,5120
256,1024,5120
256,5120,6144
256,17408,5120
256,34816,5120
256,5120,17408
512,6144,5120
512,1024,5120
512,5120,6144
512,17408,5120
512,34816,5120
512,5120,17408
1024,6144,5120
1024,1024,5120
1024,5120,6144
1024,17408,5120
1024,34816,5120
1024,5120,17408
2048,6144,5120
2048,1024,5120
2048,5120,6144
2048,17408,5120
2048,34816,5120
2048,5120,17408
4096,6144,5120
4096,1024,5120
4096,5120,6144
4096,17408,5120
4096,34816,5120
4096,5120,17408
8192,6144,5120
8192,1024,5120
8192,5120,6144
8192,17408,5120
8192,34816,5120
8192,5120,17408
16384,6144,5120
16384,1024,5120
16384,5120,6144
16384,17408,5120
16384,34816,5120
16384,5120,17408
1,10240,5120
2,10240,5120
4,10240,5120
8,10240,5120
16,10240,5120
32,10240,5120
48,10240,5120
64,10240,5120
80,10240,5120
96,10240,5120
112,10240,5120
128,10240,5120
144,10240,5120
160,10240,5120
176,10240,5120
192,10240,5120
208,10240,5120
224,10240,5120
240,10240,5120
256,10240,5120
512,10240,5120
1024,10240,5120
2048,10240,5120
4096,10240,5120
8192,10240,5120
16384,10240,5120
1,12288,5120
2,12288,5120
4,12288,5120
8,12288,5120
16,12288,5120
32,12288,5120
48,12288,5120
64,12288,5120
80,12288,5120
96,12288,5120
112,12288,5120
128,12288,5120
144,12288,5120
160,12288,5120
176,12288,5120
192,12288,5120
208,12288,5120
224,12288,5120
240,12288,5120
256,12288,5120
512,12288,5120
1024,12288,5120
2048,12288,5120
4096,12288,5120
8192,12288,5120
16384,12288,5120
1,14336,5120
2,14336,5120
4,14336,5120
8,14336,5120
16,14336,5120
32,14336,5120
48,14336,5120
64,14336,5120
80,14336,5120
96,14336,5120
112,14336,5120
128,14336,5120
144,14336,5120
160,14336,5120
176,14336,5120
192,14336,5120
208,14336,5120
224,14336,5120
240,14336,5120
256,14336,5120
512,14336,5120
1024,14336,5120
2048,14336,5120
4096,14336,5120
8192,14336,5120
16384,14336,5120
1,5120,5120
2,5120,5120
4,5120,5120
8,5120,5120
16,5120,5120
32,5120,5120
48,5120,5120
64,5120,5120
80,5120,5120
96,5120,5120
112,5120,5120
128,5120,5120
144,5120,5120
160,5120,5120
176,5120,5120
192,5120,5120
208,5120,5120
