M,N,K
1,1536,4096
2,1536,4096
4,1536,4096
6,1536,4096
8,1536,4096
12,1536,4096
16,1536,4096
24,1536,4096
32,1536,4096
40,1536,4096
48,1536,4096
56,1536,4096
64,1536,4096
72,1536,4096
80,1536,4096
88,1536,4096
96,1536,4096
104,1536,4096
112,1536,4096
120,1536,4096
128,1536,4096
136,1536,4096
144,1536,4096
152,1536,4096
160,1536,4096
168,1536,4096
176,1536,4096
184,1536,4096
192,1536,4096
200,1536,4096
208,1536,4096
216,1536,4096
224,1536,4096
232,1536,4096
240,1536,4096
248,1536,4096
256,1536,4096
272,1536,4096
288,1536,4096
304,1536,4096
320,1536,4096
336,1536,4096
352,1536,4096
368,1536,4096
384,1536,4096
400,1536,4096
416,1536,4096
432,1536,4096
448,1536,4096
464,1536,4096
480,1536,4096
496,1536,4096
512,1536,4096
544,1536,4096
576,1536,4096
608,1536,4096
640,1536,4096
672,1536,4096
704,1536,4096
736,1536,4096
768,1536,4096
791,1536,4096
800,1536,4096
818,1536,4096
827,1536,4096
832,1536,4096
834,1536,4096
836,1536,4096
854,1536,4096
864,1536,4096
867,1536,4096
873,1536,4096
877,1536,4096
882,1536,4096
891,1536,4096
896,1536,4096
904,1536,4096
907,1536,4096
908,1536,4096
910,1536,4096
921,1536,4096
928,1536,4096
929,1536,4096
942,1536,4096
947,1536,4096
950,1536,4096
954,1536,4096
960,1536,4096
988,1536,4096
992,1536,4096
998,1536,4096
1006,1536,4096
1008,1536,4096
1024,1536,4096
1785,1536,4096
1841,1536,4096
2803,1536,4096
4964,1536,4096
6447,1536,4096
6573,1536,4096
6604,1536,4096
6805,1536,4096
7008,1536,4096
7027,1536,4096
7094,1536,4096
7199,1536,4096
7239,1536,4096
7242,1536,4096
7329,1536,4096
7393,1536,4096
7459,1536,4096
7510,1536,4096
7635,1536,4096
7679,1536,4096
8061,1536,4096
8081,1536,4096
10074,1536,4096
14790,1536,4096
15115,1536,4096
18505,1536,4096
20205,1536,4096
20989,1536,4096
21780,1536,4096
22349,1536,4096
22846,1536,4096
32070,1536,4096
32141,1536,4096
32144,1536,4096
32164,1536,4096
32318,1536,4096
32372,1536,4096
32387,1536,4096
32764,1536,4096
1,8192,1024
2,8192,1024
4,8192,1024
6,8192,1024
8,8192,1024
12,8192,1024
16,8192,1024
24,8192,1024
32,8192,1024
40,8192,1024
48,8192,1024
56,8192,1024
64,8192,1024
72,8192,1024
80,8192,1024
88,8192,1024
96,8192,1024
104,8192,1024
112,8192,1024
120,8192,1024
128,8192,1024
136,8192,1024
144,8192,1024
152,8192,1024
160,8192,1024
168,8192,1024
176,8192,1024
184,8192,1024
192,8192,1024
200,8192,1024
208,8192,1024
216,8192,1024
224,8192,1024
232,8192,1024
240,8192,1024
248,8192,1024
256,8192,1024
272,8192,1024
288,8192,1024
304,8192,1024
320,8192,1024
336,8192,1024
352,8192,1024
368,8192,1024
384,8192,1024
400,8192,1024
416,8192,1024
432,8192,1024
448,8192,1024
464,8192,1024
480,8192,1024
496,8192,1024
512,8192,1024
544,8192,1024
576,8192,1024
608,8192,1024
640,8192,1024
672,8192,1024
704,8192,1024
736,8192,1024
768,8192,1024
791,8192,1024
800,8192,1024
818,8192,1024
827,8192,1024
832,8192,1024
834,8192,1024
836,8192,1024
854,8192,1024
864,8192,1024
867,8192,1024
873,8192,1024
877,8192,1024
882,8192,1024
891,8192,1024
896,8192,1024
904,8192,1024
907,8192,1024
908,8192,1024
910,8192,1024
921,8192,1024
928,8192,1024
929,8192,1024
942,8192,1024
947,8192,1024
950,8192,1024
954,8192,1024
960,8192,1024
988,8192,1024
992,8192,1024
998,8192,1024
1006,8192,1024
1008,8192,1024
1024,8192,1024
1785,8192,1024
1841,8192,1024
2803,8192,1024
4964,8192,1024
